reaction_id	flux
ABYW00000000_1_ms_medium_gapseq_open_rxn00292_ABYW00000000_1_ms_medium_gapseq_open_c0	0.000000
ABYW00000000_1_ms_medium_gapseq_open_rxn00293_ABYW00000000_1_ms_medium_gapseq_open_c0	0.003032
ABYW00000000_1_ms_medium_gapseq_open_rxn00295_ABYW00000000_1_ms_medium_gapseq_open_c0	0.000000
ABYW00000000_1_ms_medium_gapseq_open_rxn00297_ABYW00000000_1_ms_medium_gapseq_open_c0	0.000000
ABYW00000000_1_ms_medium_gapseq_open_rxn00301_ABYW00000000_1_ms_medium_gapseq_open_c0	0.000000
ABYW00000000_1_ms_medium_gapseq_open_rxn00303_ABYW00000000_1_ms_medium_gapseq_open_c0	0.000000
ABYW00000000_1_ms_medium_gapseq_open_rxn00306_ABYW00000000_1_ms_medium_gapseq_open_c0	0.000000
ABYW00000000_1_ms_medium_gapseq_open_rxn00313_ABYW00000000_1_ms_medium_gapseq_open_c0	0.000000
ABYW00000000_1_ms_medium_gapseq_open_rxn00317_ABYW00000000_1_ms_medium_gapseq_open_c0	0.000097
ABYW00000000_1_ms_medium_gapseq_open_rxn00328_ABYW00000000_1_ms_medium_gapseq_open_c0	0.000000
ABYW00000000_1_ms_medium_gapseq_open_rxn00337_ABYW00000000_1_ms_medium_gapseq_open_c0	0.002444
ABYW00000000_1_ms_medium_gapseq_open_rxn00338_ABYW00000000_1_ms_medium_gapseq_open_c0	0.000000
ABYW00000000_1_ms_medium_gapseq_open_rxn00340_ABYW00000000_1_ms_medium_gapseq_open_c0	0.000000
ABYW00000000_1_ms_medium_gapseq_open_rxn00346_ABYW00000000_1_ms_medium_gapseq_open_c0	0.000000
ABYW00000000_1_ms_medium_gapseq_open_rxn00358_ABYW00000000_1_ms_medium_gapseq_open_c0	0.000000
ABYW00000000_1_ms_medium_gapseq_open_rxn00359_ABYW00000000_1_ms_medium_gapseq_open_c0	0.000000
ABYW00000000_1_ms_medium_gapseq_open_rxn00363_ABYW00000000_1_ms_medium_gapseq_open_c0	0.000000
ABYW00000000_1_ms_medium_gapseq_open_rxn00364_ABYW00000000_1_ms_medium_gapseq_open_c0	0.011116
ABYW00000000_1_ms_medium_gapseq_open_rxn00377_ABYW00000000_1_ms_medium_gapseq_open_c0	0.000000
ABYW00000000_1_ms_medium_gapseq_open_rxn00394_ABYW00000000_1_ms_medium_gapseq_open_c0	0.000000
ABYW00000000_1_ms_medium_gapseq_open_rxn00407_ABYW00000000_1_ms_medium_gapseq_open_c0	0.000000
ABYW00000000_1_ms_medium_gapseq_open_rxn00409_ABYW00000000_1_ms_medium_gapseq_open_c0	0.011116
ABYW00000000_1_ms_medium_gapseq_open_rxn00410_ABYW00000000_1_ms_medium_gapseq_open_c0	0.035598
ABYW00000000_1_ms_medium_gapseq_open_rxn00412_ABYW00000000_1_ms_medium_gapseq_open_c0	0.000000
ABYW00000000_1_ms_medium_gapseq_open_rxn00414_ABYW00000000_1_ms_medium_gapseq_open_c0	0.000000
ABYW00000000_1_ms_medium_gapseq_open_rxn00416_ABYW00000000_1_ms_medium_gapseq_open_c0	0.000000
ABYW00000000_1_ms_medium_gapseq_open_rxn00422_ABYW00000000_1_ms_medium_gapseq_open_c0	0.000000
ABYW00000000_1_ms_medium_gapseq_open_rxn00423_ABYW00000000_1_ms_medium_gapseq_open_c0	0.000000
ABYW00000000_1_ms_medium_gapseq_open_rxn00424_ABYW00000000_1_ms_medium_gapseq_open_c0	-0.284737
ABYW00000000_1_ms_medium_gapseq_open_rxn00438_ABYW00000000_1_ms_medium_gapseq_open_c0	0.000000
ABYW00000000_1_ms_medium_gapseq_open_rxn00442_ABYW00000000_1_ms_medium_gapseq_open_c0	0.000000
ABYW00000000_1_ms_medium_gapseq_open_rxn00453_ABYW00000000_1_ms_medium_gapseq_open_c0	0.000000
ABYW00000000_1_ms_medium_gapseq_open_rxn00456_ABYW00000000_1_ms_medium_gapseq_open_c0	1.533484
ABYW00000000_1_ms_medium_gapseq_open_rxn00459_ABYW00000000_1_ms_medium_gapseq_open_c0	0.000000
ABYW00000000_1_ms_medium_gapseq_open_rxn00463_ABYW00000000_1_ms_medium_gapseq_open_c0	0.000000
ABYW00000000_1_ms_medium_gapseq_open_rxn00469_ABYW00000000_1_ms_medium_gapseq_open_c0	0.000000
ABYW00000000_1_ms_medium_gapseq_open_rxn00474_ABYW00000000_1_ms_medium_gapseq_open_c0	0.015561
ABYW00000000_1_ms_medium_gapseq_open_rxn00483_ABYW00000000_1_ms_medium_gapseq_open_c0	0.000000
ABYW00000000_1_ms_medium_gapseq_open_rxn00484_ABYW00000000_1_ms_medium_gapseq_open_c0	0.000000
ABYW00000000_1_ms_medium_gapseq_open_rxn00493_ABYW00000000_1_ms_medium_gapseq_open_c0	-0.050309
ABYW00000000_1_ms_medium_gapseq_open_rxn00503_ABYW00000000_1_ms_medium_gapseq_open_c0	0.000000
ABYW00000000_1_ms_medium_gapseq_open_rxn00504_ABYW00000000_1_ms_medium_gapseq_open_c0	0.000000
ABYW00000000_1_ms_medium_gapseq_open_rxn00505_ABYW00000000_1_ms_medium_gapseq_open_c0	0.000000
ABYW00000000_1_ms_medium_gapseq_open_rxn00506_ABYW00000000_1_ms_medium_gapseq_open_c0	0.000000
ABYW00000000_1_ms_medium_gapseq_open_rxn00507_ABYW00000000_1_ms_medium_gapseq_open_c0	0.000000
ABYW00000000_1_ms_medium_gapseq_open_rxn00508_ABYW00000000_1_ms_medium_gapseq_open_c0	0.000000
ABYW00000000_1_ms_medium_gapseq_open_rxn00509_ABYW00000000_1_ms_medium_gapseq_open_c0	0.000000
ABYW00000000_1_ms_medium_gapseq_open_rxn00510_ABYW00000000_1_ms_medium_gapseq_open_c0	0.000000
ABYW00000000_1_ms_medium_gapseq_open_rxn00514_ABYW00000000_1_ms_medium_gapseq_open_c0	0.000000
ABYW00000000_1_ms_medium_gapseq_open_rxn00515_ABYW00000000_1_ms_medium_gapseq_open_c0	0.000000
ABYW00000000_1_ms_medium_gapseq_open_rxn00520_ABYW00000000_1_ms_medium_gapseq_open_c0	0.000000
ABYW00000000_1_ms_medium_gapseq_open_rxn00526_ABYW00000000_1_ms_medium_gapseq_open_c0	0.000000
ABYW00000000_1_ms_medium_gapseq_open_rxn00527_ABYW00000000_1_ms_medium_gapseq_open_c0	0.000165
ABYW00000000_1_ms_medium_gapseq_open_rxn00529_ABYW00000000_1_ms_medium_gapseq_open_c0	0.000000
ABYW00000000_1_ms_medium_gapseq_open_rxn00532_ABYW00000000_1_ms_medium_gapseq_open_c0	0.000000
ABYW00000000_1_ms_medium_gapseq_open_rxn00533_ABYW00000000_1_ms_medium_gapseq_open_c0	0.000000
ABYW00000000_1_ms_medium_gapseq_open_rxn00536_ABYW00000000_1_ms_medium_gapseq_open_c0	1.599537
ABYW00000000_1_ms_medium_gapseq_open_rxn00543_ABYW00000000_1_ms_medium_gapseq_open_c0	0.900463
ABYW00000000_1_ms_medium_gapseq_open_rxn00544_ABYW00000000_1_ms_medium_gapseq_open_c0	0.264298
ABYW00000000_1_ms_medium_gapseq_open_rxn00549_ABYW00000000_1_ms_medium_gapseq_open_c0	0.000000
ABYW00000000_1_ms_medium_gapseq_open_rxn00555_ABYW00000000_1_ms_medium_gapseq_open_c0	0.003032
ABYW00000000_1_ms_medium_gapseq_open_rxn00558_ABYW00000000_1_ms_medium_gapseq_open_c0	-0.001245
ABYW00000000_1_ms_medium_gapseq_open_rxn00559_ABYW00000000_1_ms_medium_gapseq_open_c0	0.059155
