,metabolite_id,metabolite_name,cross_feeding,produced_by,consumed_by
173,cpd90017_medium,Protein-Linked Serine Or Threonine Residue (O-Glycosylation Site),False,[],[]
174,cpd90003_medium,"starch (n=27, 3xalpha1-6, 23xalpha1-4)",False,[],[]
175,cpd90004_medium,"starch (n=19, 3xalpha1-6, 15xalpha1-4)",False,[],[]
176,cpd90008_medium,Maltotridecaose,False,[],[]
177,cpd90005_medium,Maltooctaose,False,[],[]
178,cpd90007_medium,Maltohexaose,False,[],[]
179,cpd90006_medium,Maltoundecaose,False,[],[]
180,cpd02829_medium,"3alpha,12alpha-Dihydroxy-7-oxo-5beta-cholanate",False,[],[]
181,cpd23431_medium,3-dehydrocholate,False,[],[]
182,cpd23430_medium,isocholate,False,[],[]
183,cpd35610_medium,3alpha-hydroxy-7-oxo-5beta-cholan-24-oate,False,[],[]
184,cpd90020_medium,Cellulose,False,[],['NC_004663_1_ms_b_tim_medium_gapseq_open']
185,cpd00211_medium,Butyrate,False,[],[]
186,cpd00751_medium,L-Fucose,False,[],[]
187,cpd00588_medium,Sorbitol,False,[],[]
188,cpd00164_medium,Glucuronate,False,[],[]
189,cpd00038_medium,GTP,False,[],[]
190,cpd00080_medium,Glycerol-3-phosphate,False,[],[]
191,cpd00081_medium,Sulfite,False,[],[]
192,cpd03198_medium,Melibiose,False,[],[]
193,cpd00020_medium,Pyruvate,False,[],[]
194,cpd00232_medium,Neu5Ac,False,[],[]
195,cpd03047_medium,Taurocholate,False,[],[]
196,cpd00152_medium,Agmatine,False,[],[]
197,cpd00006_medium,NADP,False,[],[]
198,cpd03246_medium,Taurochenodeoxycholate,False,[],[]
199,cpd11416_medium,Community Biomass,False,"['ABYW00000000_1_ms_medium_gapseq_open', 'NC_004663_1_ms_b_tim_medium_gapseq_open']",[]
